"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongNameComparatorEqual record1Value","[0] SongNameComparatorEqual record2Value","[0] SongNameComparatorEqual record1PreprocessedValue","[0] SongNameComparatorEqual record2PreprocessedValue","[0] SongNameComparatorEqual similarity","[0] SongNameComparatorEqual postproccesedSimilarity","[1] SongArtistsComparatorToken record1Value","[1] SongArtistsComparatorToken record2Value","[1] SongArtistsComparatorToken record1PreprocessedValue","[1] SongArtistsComparatorToken record2PreprocessedValue","[1] SongArtistsComparatorToken similarity","[1] SongArtistsComparatorToken postproccesedSimilarity"
"LinearCombinationMatchingRule","spotify_1022","musicbrainz_28821","0.0","0","that's tuff (feat. quavo)","this is a call","that's tuff (feat. quavo)","this is a call","0.0","0.0","rich the kid,  quavo","thousand foot krutch","rich the kid,  quavo","thousand foot krutch","0.0","0.0"
"LinearCombinationMatchingRule","spotify_5094","musicbrainz_20084","0.0",,"thirteen silver dollars","the rest is up to you","thirteen silver dollars","the rest is up to you","0.0","0.0","colter wall","relient k","colter wall","relient k","0.0","0.0"
"LinearCombinationMatchingRule","spotify_6422","musicbrainz_3030","0.0",,"rockstar (feat. roddy ricch)","romantic dreams","rockstar (feat. roddy ricch)","romantic dreams","0.0","0.0","dababy,  roddy ricch","deftones","dababy,  roddy ricch","deftones","0.0","0.0"
"LinearCombinationMatchingRule","spotify_360","musicbrainz_7203","0.0",,"lonely days (feat. j boogs)","london in terror","lonely days (feat. j boogs)","london in terror","0.0","0.0","fiji,  j boogs","motionless in white","fiji,  j boogs","motionless in white","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1650","musicbrainz_12602","0.0",,"no longer slaves (radio version) [feat. jonathan david helser & melissa helser]","not right","no longer slaves (radio version) [feat. jonathan david helser & melissa helser]","not right","0.0","0.0","bethel music,  jonathan david helser,  melissa helser","the stooges","bethel music,  jonathan david helser,  melissa helser","the stooges","0.0","0.0"
"LinearCombinationMatchingRule","spotify_18197","musicbrainz_5474","0.0",,"i'm so sick of this","i'm a hummingbird","i'm so sick of this","i'm a hummingbird","0.0","0.0","guccihighwaters","eels","guccihighwaters","eels","0.0","0.0"
"LinearCombinationMatchingRule","spotify_8099","musicbrainz_20021","0.0",,"de que se puede se puede","demonized","de que se puede se puede","demonized","0.0","0.0","los inquietos del norte","hammerfall","los inquietos del norte","hammerfall","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1225","musicbrainz_27132","0.0",,"bed of my chevy","belus’ tilbakekomst (konklusjon)","bed of my chevy","belus’ tilbakekomst (konklusjon)","0.0","0.0","justin moore","burzum","justin moore","burzum","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1407","musicbrainz_6131","0.0",,"misanthropic drunken loner","mirrored sea","misanthropic drunken loner","mirrored sea","0.0","0.0","days n daze","passion pit","days n daze","passion pit","0.0","0.0"
"LinearCombinationMatchingRule","spotify_19441","musicbrainz_8510","0.0",,"never not","new sensation","never not","new sensation","0.0","0.0","lauv","inxs","lauv","inxs","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15473","musicbrainz_11735","0.0",,"bezerk (feat. a$ap ferg)","be true","bezerk (feat. a$ap ferg)","be true","0.0","0.0","big sean,  hit-boy,  a$ap ferg","texas","big sean,  hit-boy,  a$ap ferg","texas","0.0","0.0"
"LinearCombinationMatchingRule","spotify_18932","musicbrainz_11019","0.0",,"the promise","the call of ktulu (live at the lyceum theatre, london, uk / december 20th, 1984)","the promise","the call of ktulu (live at the lyceum theatre, london, uk / december 20th, 1984)","0.0","0.0","sturgill simpson","metallica","sturgill simpson","metallica","0.0","0.0"
"LinearCombinationMatchingRule","spotify_11808","musicbrainz_10805","0.0",,"face to the floor","faith in others (5.1 mix)","face to the floor","faith in others (5.1 mix)","0.0","0.0","chevelle","opeth","chevelle","opeth","0.0","0.0"
"LinearCombinationMatchingRule","spotify_11088","musicbrainz_30064","0.0",,"the night we met","the house on the rising sun","the night we met","the house on the rising sun","0.0","0.0","lord huron","the animals","lord huron","the animals","0.0","0.0"
"LinearCombinationMatchingRule","spotify_14049","musicbrainz_17310","0.0",,"the room where it happens","the wonders at your feet","the room where it happens","the wonders at your feet","0.0","0.0","leslie odom jr.,  lin-manuel miranda,  daveed diggs,  okieriete onaodowan,  original broadway cast of hamilton","dark tranquillity","leslie odom jr.,  lin-manuel miranda,  daveed diggs,  okieriete onaodowan,  original broadway cast of hamilton","dark tranquillity","0.0","0.0"
"LinearCombinationMatchingRule","spotify_7879","musicbrainz_5047","0.0",,"entertainment","end of a spark","entertainment","end of a spark","0.0","0.0","phoenix","tokyo police club","phoenix","tokyo police club","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15806","musicbrainz_17220","0.0",,"hands on the wheel (feat. asap rocky)","hard truths (stay a while)","hands on the wheel (feat. asap rocky)","hard truths (stay a while)","0.0","0.0","schoolboy q,  a$ap rocky","the wonder stuff","schoolboy q,  a$ap rocky","the wonder stuff","0.0","0.0"
"LinearCombinationMatchingRule","spotify_10043","musicbrainz_3287","0.0",,"walla walla","watch it burn","walla walla","watch it burn","0.0","0.0","glass animals","disciple","glass animals","disciple","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3824","musicbrainz_23392","0.0",,"living on the sand","life on a film set","living on the sand","life on a film set","0.0","0.0","colter wall","yes","colter wall","yes","0.0","0.0"
"LinearCombinationMatchingRule","spotify_11630","musicbrainz_6692","0.0",,"go crazy","goddess","go crazy","goddess","0.0","0.0","chris brown,  young thug","banks","chris brown,  young thug","banks","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9101","musicbrainz_3676","0.0",,"anyhow","angel of small death & the codeine scene (live at itunes festival, london / 2014)","anyhow","angel of small death & the codeine scene (live at itunes festival, london / 2014)","0.0","0.0","tedeschi trucks band","hozier","tedeschi trucks band","hozier","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1806","musicbrainz_25081","0.0",,"the girl i haven't met","the wyoming distance","the girl i haven't met","the wyoming distance","0.0","0.0","kudasaibeats","darkthrone","kudasaibeats","darkthrone","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9984","musicbrainz_15095","0.0",,"the number 4","the ecstasy of gold","the number 4","the ecstasy of gold","0.0","0.0","khruangbin","metallica","khruangbin","metallica","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9354","musicbrainz_6897","0.0","0","whenever (feat. conor maynard)","what the hell (acoustic)","whenever (feat. conor maynard)","what the hell (acoustic)","0.0","0.0","kris kross amsterdam,  the boy next door,  conor maynard","avril lavigne","kris kross amsterdam,  the boy next door,  conor maynard","avril lavigne","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1354","musicbrainz_25395","0.0","0","mirror maru","mirror","mirror maru","mirror","0.0","0.0","cashmere cat","kutless","cashmere cat","kutless","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3431","musicbrainz_31418","0.0","0","too many rappers - new reactionaries version","to walk the infernal fields","too many rappers - new reactionaries version","to walk the infernal fields","0.0","0.0","beastie boys,  nas","darkthrone","beastie boys,  nas","darkthrone","0.0","0.0"
"LinearCombinationMatchingRule","spotify_19929","musicbrainz_18030","0.0","0","dessert","deliver us (instrumental)","dessert","deliver us (instrumental)","0.0","0.0","dawin","in flames","dawin","in flames","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1493","musicbrainz_26261","0.0",,"the mighty fall","the florida sun","the mighty fall","the florida sun","0.0","0.0","fall out boy,  big sean","the almost","fall out boy,  big sean","the almost","0.0","0.0"
"LinearCombinationMatchingRule","spotify_12913","musicbrainz_31550","0.0",,"la diabla","la devastante veritá","la diabla","la devastante veritá","0.0","0.0","romeo santos","gemini syndrome","romeo santos","gemini syndrome","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17734","musicbrainz_26093","0.0",,"the world (is going up in flames)","the edge of tonight","the world (is going up in flames)","the edge of tonight","0.0","0.0","charles bradley,  menahan street band","all time low","charles bradley,  menahan street band","all time low","0.0","0.0"
"LinearCombinationMatchingRule","spotify_14152","musicbrainz_17081","0.0",,"the resistance","the whole man","the resistance","the whole man","0.0","0.0","skillet","fatboy slim","skillet","fatboy slim","0.0","0.0"
"LinearCombinationMatchingRule","spotify_357","musicbrainz_11762","0.0",,"el americano","elephant talk (rough mix)","el americano","elephant talk (rough mix)","0.0","0.0","omar ruiz","king crimson","omar ruiz","king crimson","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15508","musicbrainz_2139","0.0","0","headlocc","heartsink","headlocc","heartsink","0.0","0.0","yella beezy,  young thug","blood red shoes","yella beezy,  young thug","blood red shoes","0.0","0.0"
"LinearCombinationMatchingRule","spotify_13997","musicbrainz_2105","0.0","0","main chick (feat. chris brown)","mandala","main chick (feat. chris brown)","mandala","0.0","0.0","kid ink,  chris brown","morcheeba","kid ink,  chris brown","morcheeba","0.0","0.0"
"LinearCombinationMatchingRule","spotify_2781","musicbrainz_6872","0.0",,"throw shade","the one moment","throw shade","the one moment","0.0","0.0","cruisr","ok go","cruisr","ok go","0.0","0.0"
"LinearCombinationMatchingRule","spotify_19395","musicbrainz_26430","0.0",,"don't kill my high","down to the river","don't kill my high","down to the river","0.0","0.0","lost kings,  wiz khalifa,  social house","ida maria","lost kings,  wiz khalifa,  social house","ida maria","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1108","musicbrainz_3412","0.0",,"the world","the letter","the world","the letter","0.0","0.0","brad paisley","natalie merchant","brad paisley","natalie merchant","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17120","musicbrainz_27055","0.0",,"try everything - from ""zootropolis""","tribal convictions (live)","try everything - from ""zootropolis""","tribal convictions (live)","0.0","0.0","shakira","voivod","shakira","voivod","0.0","0.0"
"LinearCombinationMatchingRule","spotify_4715","musicbrainz_23783","0.0","0","moviendo caderas (feat. daddy yankee)","morrigan","moviendo caderas (feat. daddy yankee)","morrigan","0.0","0.0","yandel,  daddy yankee","children of bodom","yandel,  daddy yankee","children of bodom","0.0","0.0"
"LinearCombinationMatchingRule","spotify_2530","musicbrainz_15356","0.0",,"el ruido de tus zapatos","elves (saturday live)","el ruido de tus zapatos","elves (saturday live)","0.0","0.0","la arrolladora banda el limón de rene camacho","the fall","la arrolladora banda el limón de rene camacho","the fall","0.0","0.0"
"LinearCombinationMatchingRule","spotify_7388","musicbrainz_9947","0.0",,"there was jesus","the angel of the forever sleep","there was jesus","the angel of the forever sleep","0.0","0.0","zach williams,  dolly parton","marcy playground","zach williams,  dolly parton","marcy playground","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3357","musicbrainz_7284","0.0",,"clear the air","close to the bone","clear the air","close to the bone","0.0","0.0","off with their heads","metal church","off with their heads","metal church","0.0","0.0"
"LinearCombinationMatchingRule","spotify_12110","musicbrainz_16058","0.0",,"everyday (feat. rod stewart, miguel & mark ronson)","everybody loves to play the fool","everyday (feat. rod stewart, miguel & mark ronson)","everybody loves to play the fool","0.0","0.0","a$ap rocky,  rod stewart,  miguel,  mark ronson","the icicle works","a$ap rocky,  rod stewart,  miguel,  mark ronson","the icicle works","0.0","0.0"
"LinearCombinationMatchingRule","spotify_68","musicbrainz_17954","0.0",,"dear john","def con one (clint's home demo)","dear john","def con one (clint's home demo)","0.0","0.0","taylor swift","pop will eat itself","taylor swift","pop will eat itself","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9163","musicbrainz_28194","0.0",,"the excavator song","thoroughbred heart","the excavator song","thoroughbred heart","0.0","0.0","blippi","sister hazel","blippi","sister hazel","0.0","0.0"
"LinearCombinationMatchingRule","spotify_14432","musicbrainz_1148","0.0",,"there was this girl","the same deep water as you (band demo)","there was this girl","the same deep water as you (band demo)","0.0","0.0","riley green","the cure","riley green","the cure","0.0","0.0"
"LinearCombinationMatchingRule","spotify_19526","musicbrainz_24709","0.0",,"siempre estas tú","since i’ve been loving you (rough mix of first recording)","siempre estas tú","since i’ve been loving you (rough mix of first recording)","0.0","0.0","la arrolladora banda el limón de rene camacho","led zeppelin","la arrolladora banda el limón de rene camacho","led zeppelin","0.0","0.0"
"LinearCombinationMatchingRule","spotify_8415","musicbrainz_5045","0.0",,"warsaw (feat. 2forwoyne)","wait up (boots of danger)","warsaw (feat. 2forwoyne)","wait up (boots of danger)","0.0","0.0","jack harlow,  2forwoyne","tokyo police club","jack harlow,  2forwoyne","tokyo police club","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15348","musicbrainz_33507","0.0",,"rednecker","rebel radio (rene lavice's start a fucking riot remix)","rednecker","rebel radio (rene lavice's start a fucking riot remix)","0.0","0.0","hardy","the prodigy","hardy","the prodigy","0.0","0.0"
"LinearCombinationMatchingRule","spotify_14621","musicbrainz_29570","0.0",,"never grow up","new horizons","never grow up","new horizons","0.0","0.0","taylor swift","flyleaf","taylor swift","flyleaf","0.0","0.0"
"LinearCombinationMatchingRule","spotify_5603","musicbrainz_9790","0.0",,"the gospel (according to fishermen)","this can't be healthy","the gospel (according to fishermen)","this can't be healthy","0.0","0.0","tyler childers","anarbor","tyler childers","anarbor","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1179","musicbrainz_2702","0.0",,"the grid","the diamond church street choir","the grid","the diamond church street choir","0.0","0.0","daft punk","the gaslight anthem","daft punk","the gaslight anthem","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17988","musicbrainz_2624","0.0",,"soy de rancho","something good can work (ted & francis remix)","soy de rancho","something good can work (ted & francis remix)","0.0","0.0","el komander","two door cinema club","el komander","two door cinema club","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3009","musicbrainz_3459","0.0","0","loco","loose fit","loco","loose fit","0.0","0.0","machine gun kelly","happy mondays","machine gun kelly","happy mondays","0.0","0.0"
"LinearCombinationMatchingRule","spotify_10398","musicbrainz_31682","0.0","0","outskirts of heaven","outside the wall (demo #2)","outskirts of heaven","outside the wall (demo #2)","0.0","0.0","craig campbell","pink floyd","craig campbell","pink floyd","0.0","0.0"
"LinearCombinationMatchingRule","spotify_10228","musicbrainz_6947","0.0","0","all i do","all time low (todd rundgren remix)","all i do","all time low (todd rundgren remix)","0.0","0.0","nf","nine inch nails","nf","nine inch nails","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9967","musicbrainz_18178","0.0",,"can't get enough (feat. pitbull)","can’t stop wanting","can't get enough (feat. pitbull)","can’t stop wanting","0.0","0.0","becky g,  pitbull","blondie","becky g,  pitbull","blondie","0.0","0.0"
"LinearCombinationMatchingRule","spotify_20362","musicbrainz_26865","0.1",,"this damn song","the good’s gone (mono version)","this damn song","the good’s gone (mono version)","0.0","0.0","pecos & the rooftops","the who","pecos & the rooftops","the who","0.25","0.25"
"LinearCombinationMatchingRule","spotify_11979","musicbrainz_26229","0.0",,"the walker","the torment of existence weighed against the horror of nonbeing","the walker","the torment of existence weighed against the horror of nonbeing","0.0","0.0","fitz and the tantrums","mayday parade","fitz and the tantrums","mayday parade","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1331","musicbrainz_24747","0.0",,"what makes a good man?","when the levee breaks (alternate u.k. mix)","what makes a good man?","when the levee breaks (alternate u.k. mix)","0.0","0.0","the heavy","led zeppelin","the heavy","led zeppelin","0.0","0.0"
"LinearCombinationMatchingRule","spotify_6472","musicbrainz_28353","0.0",,"alien girl (today w/ her)","all or nothing at all","alien girl (today w/ her)","all or nothing at all","0.0","0.0","kendrick lamar","switchfoot","kendrick lamar","switchfoot","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1875","musicbrainz_21888","0.0",,"hearts don't break around here","head on","hearts don't break around here","head on","0.0","0.0","ed sheeran","pixies","ed sheeran","pixies","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17542","musicbrainz_3802","0.0",,"thief in the night","the 11th hour","thief in the night","the 11th hour","0.0","0.0","rod wave","the tea party","rod wave","the tea party","0.0","0.0"
"LinearCombinationMatchingRule","spotify_10563","musicbrainz_6703","0.0",,"miracles","mind games","miracles","mind games","0.0","0.0","colton dixon","banks","colton dixon","banks","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15113","musicbrainz_22940","0.0",,"the devil's bleeding crown","the new fight","the devil's bleeding crown","the new fight","0.0","0.0","volbeat","saving abel","volbeat","saving abel","0.0","0.0"
"LinearCombinationMatchingRule","spotify_956","musicbrainz_13466","0.0",,"another place","anti d","another place","anti d","0.0","0.0","bastille,  alessia cara","the wombats","bastille,  alessia cara","the wombats","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3247","musicbrainz_15665","0.0",,"body count (feat. king von & g herbo)","bored of canada","body count (feat. king von & g herbo)","bored of canada","0.0","0.0","mozzy,  king von,  g herbo","ulver","mozzy,  king von,  g herbo","ulver","0.0","0.0"
