"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Genre","1.0","Genre-{musicbrainz_3030}","{alternative metal}","alternative metal",,
"Year","0.0","Year-{musicbrainz_12614|dbpedia_515}","{2014-01-01T00:00|2013-01-01T00:00}","2014-01-01T00:00",,
"Duration","0.6666666666666666","Duration-{spotify_5967|musicbrainz_33852|spotify_6948}","{222107.0|222000.0|221499.0}","221868.66666666666",,
"Year","0.3333333333333333","Year-{spotify_9709|dbpedia_3172|musicbrainz_19968}","{2011-01-01T00:00|2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Year","0.6666666666666666","Year-{musicbrainz_31905|musicbrainz_31896|dbpedia_6040}","{2010-01-01T00:00|2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Name","0.3333333333333333","Name-{musicbrainz_14071|musicbrainz_14055|dbpedia_3356}","{Face Everything and Rise (live)|Face Everything and Rise|Face Everything and Rise}","Face Everything and Rise",,
"Year","1.0","Year-{spotify_18921|dbpedia_8717}","{2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Artist","0.5","Artist-{dbpedia_8126|spotify_5811}","{[R5]|[R5]}","[R5]",,
"Album","1.0","Album-{musicbrainz_11140}","{Portamento}","Portamento",,
"Album","1.0","Album-{dbpedia_7521}","{Femme Fatale}","Femme Fatale",,
"Artist","0.5","Artist-{dbpedia_8622|spotify_19970}","{[Michael Ray]|[Michael Ray]}","[Michael Ray]",,
"Genre","1.0","Genre-{musicbrainz_24450}","{indie rock}","indie rock",,
"Album","1.0","Album-{dbpedia_9924}","{Studio Killers}","Studio Killers",,
"Album","1.0","Album-{dbpedia_907}","{Channel Orange,Peace Is the Mission}","Channel Orange,Peace Is the Mission",,
"Artist","0.6666666666666666","Artist-{spotify_10956|musicbrainz_24545|dbpedia_302}","{[Cage The Elephant]|[Cage The Elephant]|[Cage The Elephant]}","[Cage The Elephant]",,
"Genre","1.0","Genre-{dbpedia_11523}","{Dubstep}","Dubstep",,
"Artist","0.0","Artist-{dbpedia_1253|spotify_18949}","{[Eminem]|[Eminem, Gwen Stefani]}","[Gwen Stefani, Eminem]",,
"Artist","0.6666666666666666","Artist-{dbpedia_1945|spotify_14082|spotify_13121}","{[Little Mix]|[Little Mix]|[Little Mix]}","[Little Mix]",,
"Duration","0.5","Duration-{spotify_18529|musicbrainz_353}","{193107.0|193000.0}","193053.5",,
"Duration","1.0","Duration-{musicbrainz_22328}","{265000.0}","265000.0",,
"Album","0.0","Album-{musicbrainz_2610|musicbrainz_2621|musicbrainz_2596}","{Beacon,Tourist History|Tourist History|Beacon}","Beacon,Tourist History",,
"Writer","1.0","Writer-{dbpedia_8215}","{Jarrad Rogers,Jarrad Rogers, 'Mstr Rogers'}","Jarrad Rogers,Jarrad Rogers, 'Mstr Rogers'",,
"Genre","0.0","Genre-{musicbrainz_17403|dbpedia_1078}","{rock|Alternative rock,Post-grunge}","Alternative rock,Post-grunge",,
"Artist","0.5","Artist-{dbpedia_1603|spotify_10702}","{[Kesha]|[Kesha]}","[Kesha]",,
"Duration","0.5","Duration-{spotify_17725|spotify_10860}","{233688.0|232947.0}","233317.5",,
"Genre","1.0","Genre-{dbpedia_500}","{Indie pop,House music}","Indie pop,House music",,
"Writer","1.0","Writer-{dbpedia_7016}","{Oliver Sykes}","Oliver Sykes",,
"Duration","1.0","Duration-{spotify_3590}","{203773.0}","203773.0",,
"Duration","1.0","Duration-{spotify_20116}","{229510.0}","229510.0",,
"RecordLabel","1.0","RecordLabel-{dbpedia_4259}","{Big Machine Records}","Big Machine Records",,
"Genre","1.0","Genre-{dbpedia_6008}","{Synthpop,Dance-pop}","Synthpop,Dance-pop",,
"Album","1.0","Album-{dbpedia_9085}","{Red River Blue}","Red River Blue",,
"Genre","1.0","Genre-{musicbrainz_6632}","{pop rock}","pop rock",,
"Duration","0.5","Duration-{spotify_12173|musicbrainz_13476}","{217507.0|217000.0}","217253.5",,
"Name","0.0","Name-{dbpedia_6867|spotify_12137}","{Waiting for Love (Avicii song)|Waiting For Love}","Waiting For Love",,
"Album","1.0","Album-{dbpedia_8720}","{Listen Up! The Official 2010 FIFA World Cup Album}","Listen Up! The Official 2010 FIFA World Cup Album",,
"Artist","1.0","Artist-{spotify_10743|dbpedia_10261}","{[Adele]|[Adele]}","[Adele]",,
"Genre","0.75","Genre-{musicbrainz_2429|musicbrainz_2447|dbpedia_7439|musicbrainz_20754}","{symphonic metal|symphonic metal|Symphonic metal,Symphonic gothic metal,Symphonic power metal|symphonic metal}","Symphonic metal,Symphonic gothic metal,Symphonic power metal",,
"Artist","0.5","Artist-{spotify_2203|musicbrainz_33825}","{[Bring Me The Horizon]|[Bring Me The Horizon]}","[Bring Me The Horizon]",,
"RecordLabel","0.3333333333333333","RecordLabel-{dbpedia_7410|dbpedia_7409|dbpedia_2948}","{Warner Bros. Records|Warner Bros. Records|Warner Bros. Records}","Warner Bros. Records",,
"Album","1.0","Album-{musicbrainz_11142}","{Portamento}","Portamento",,
"Genre","1.0","Genre-{dbpedia_11525}","{Indie pop}","Indie pop",,
"Name","0.0","Name-{spotify_17113|dbpedia_2230}","{Wasted Time|Wasted Time (Keith Urban song)}","Wasted Time",,
"Duration","1.0","Duration-{musicbrainz_19198}","{210000.0}","210000.0",,
"Year","0.5","Year-{dbpedia_1338|spotify_4492}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Genre","1.0","Genre-{dbpedia_8668}","{Alternative rock,Reggae rock}","Alternative rock,Reggae rock",,
"Duration","1.0","Duration-{spotify_12698|spotify_11661}","{285973.0|278080.0}","282026.5",,
"Year","1.0","Year-{dbpedia_1412|spotify_2480}","{2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_5718}","{Manic Street Preachers}","Manic Street Preachers",,
"Artist","0.5","Artist-{dbpedia_1747|spotify_11670}","{[Brantley Gilbert]|[Brantley Gilbert]}","[Brantley Gilbert]",,
"Name","0.5","Name-{dbpedia_7233|spotify_14023}","{Nasty Freestyle|Nasty Freestyle}","Nasty Freestyle",,
"Artist","1.0","Artist-{spotify_6769|dbpedia_1085}","{[Arcade Fire]|[Arcade Fire]}","[Arcade Fire]",,
"Genre","1.0","Genre-{dbpedia_768}","{House music,Eurodance}","House music,Eurodance",,
"Genre","1.0","Genre-{dbpedia_11528}","{Country music}","Country music",,
"Name","0.3333333333333333","Name-{musicbrainz_6495|spotify_1367|musicbrainz_6506}","{Why Am I the One|Why Am I the One|Why Am I the One? (acoustic)}","Why Am I the One",,
"Artist","0.5","Artist-{dbpedia_6468|musicbrainz_813|spotify_10852|musicbrainz_793}","{[Of Monsters And Men]|[Of Monsters And Men]|[Of Monsters And Men]|[Of Monsters And Men]}","[Of Monsters And Men]",,
"Genre","1.0","Genre-{dbpedia_502}","{Memphis soul,Gospel blues,Country pop}","Memphis soul,Gospel blues,Country pop",,
"Album","1.0","Album-{dbpedia_7526}","{The Divergent Series: Insurgent – Original Motion Picture Soundtrack,The Divergent Series: Insurgent – Original Motion Picture Score}","The Divergent Series: Insurgent – Original Motion Picture Soundtrack,The Divergent Series: Insurgent – Original Motion Picture Score",,
"Year","0.5","Year-{musicbrainz_12460|spotify_17638}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_6917}","{Pharrell Williams}","Pharrell Williams",,
"RecordLabel","1.0","RecordLabel-{dbpedia_31}","{School Boy Records,Geffen Records,Interscope Records}","School Boy Records,Geffen Records,Interscope Records",,
"Album","1.0","Album-{dbpedia_9087}","{Believe}","Believe",,
"Year","0.3333333333333333","Year-{musicbrainz_33644|spotify_6799|dbpedia_161}","{2013-01-01T00:00|2013-01-01T00:00|2014-01-01T00:00}","2013-01-01T00:00",,
"Year","0.5","Year-{dbpedia_3359|spotify_13122}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_5719}","{Rascal Flatts,Dann Huff}","Rascal Flatts,Dann Huff",,
"Producer","1.0","Producer-{dbpedia_10060}","{Ashley Gorley,Carson Chamberlain}","Ashley Gorley,Carson Chamberlain",,
"Duration","1.0","Duration-{spotify_2390}","{157600.0}","157600.0",,
"Name","0.3333333333333333","Name-{dbpedia_2986|dbpedia_1289|spotify_15143}","{Cranes in the Sky|Cranes in the Sky|Cranes in the Sky}","Cranes in the Sky",,
"Duration","1.0","Duration-{spotify_16623}","{300080.0}","300080.0",,
"Year","0.0","Year-{spotify_12873|dbpedia_1282}","{2012-01-01T00:00|2011-01-01T00:00}","2012-01-01T00:00",,
"Genre","1.0","Genre-{dbpedia_769}","{Indie pop,Indietronica,Indie rock}","Indie pop,Indietronica,Indie rock",,
"Genre","1.0","Genre-{dbpedia_11527}","{Synthpop}","Synthpop",,
"Name","0.0","Name-{spotify_7919|spotify_15767|dbpedia_3509}","{Like Whaaat (feat. Wiz Khalifa, Tyga, Chris Brown , Master P) - Remix|Like Whaaat (feat. Bad Lucc)|Like Whaaat}","Like Whaaat",,
"Duration","1.0","Duration-{spotify_6930}","{203941.0}","203941.0",,
"Genre","1.0","Genre-{dbpedia_503}","{Industrial hip hop}","Industrial hip hop",,
"Album","1.0","Album-{dbpedia_7525}","{F.E.A.R.}","F.E.A.R.",,
"Producer","1.0","Producer-{dbpedia_10061}","{Sebu Simonian,Capital Cities}","Sebu Simonian,Capital Cities",,
"Producer","1.0","Producer-{dbpedia_9958}","{Saliva}","Saliva",,
"Duration","0.5","Duration-{spotify_13796|musicbrainz_346}","{193573.0|193000.0}","193286.5",,
"Genre","1.0","Genre-{dbpedia_2570}","{Contemporary Christian music}","Contemporary Christian music",,
"Artist","0.0","Artist-{spotify_12157|dbpedia_5709}","{[Future, Drake]|[Future]}","[Future, Drake]",,
"Name","0.0","Name-{dbpedia_4846|spotify_18970}","{The Wolf (Mumford , Sons song)|The Wolf}","The Wolf",,
"Writer","1.0","Writer-{dbpedia_2382}","{Mike Will Made It}","Mike Will Made It",,
"Album","1.0","Album-{dbpedia_9929}","{Tailgates , Tanlines}","Tailgates , Tanlines",,
"Year","1.0","Year-{dbpedia_1259|spotify_510}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"RecordLabel","0.5","RecordLabel-{dbpedia_3776|dbpedia_11068}","{Universal Music Group, Inc.|Universal Music Group, Inc.}","Universal Music Group, Inc.",,
"Artist","0.5","Artist-{dbpedia_8953|spotify_11226}","{[Daya]|[Daya]}","[Daya]",,
"Name","0.0","Name-{dbpedia_9488|spotify_7102}","{Smoke , Retribution|Smoke , Retribution (feat. Vince Staples , Kučka)}","Smoke , Retribution",,
"Writer","1.0","Writer-{dbpedia_1183}","{Biffco}","Biffco",,
"Name","0.5","Name-{musicbrainz_23882|spotify_4506}","{Get Well|Get Well}","Get Well",,
"Artist","0.5","Artist-{musicbrainz_24015|spotify_13246}","{[Young The Giant]|[Young The Giant]}","[Young The Giant]",,
"Year","0.0","Year-{dbpedia_581|spotify_13111}","{2014-01-01T00:00|2015-01-01T00:00}","2014-01-01T00:00",,
"Artist","0.3333333333333333","Artist-{spotify_1314|dbpedia_1567|musicbrainz_14019}","{[Green Day]|[Green Day]|[Green Day]}","[Green Day]",,
"Album","1.0","Album-{dbpedia_1037|musicbrainz_9139|musicbrainz_9927|musicbrainz_9928}","{Save Rock and Roll|Save Rock and Roll|Save Rock and Roll|Save Rock and Roll}","Save Rock and Roll",,
"Artist","1.0","Artist-{musicbrainz_10575|dbpedia_10245}","{[Blind Guardian]|[Blind Guardian]}","[Blind Guardian]",,
"Duration","0.5","Duration-{spotify_3667|musicbrainz_28289}","{248044.0|248000.0}","248022.0",,
"Year","0.0","Year-{spotify_9926|dbpedia_6230}","{2013-01-01T00:00|2014-01-01T00:00}","2013-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_11066}","{Warner Bros. Records}","Warner Bros. Records",,
"RecordLabel","1.0","RecordLabel-{dbpedia_2955}","{Roc Nation,Roc Nation Records}","Roc Nation,Roc Nation Records",,
"Year","1.0","Year-{dbpedia_7993|musicbrainz_30199|musicbrainz_22391}","{2014-01-01T00:00|2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Year","0.5","Year-{dbpedia_11103|spotify_13242}","{2016-01-01T00:00|2016-01-01T00:00}","2016-01-01T00:00",,
"Artist","1.0","Artist-{dbpedia_6880|spotify_7789}","{[Azealia Banks]|[Azealia Banks]}","[Azealia Banks]",,
"Genre","1.0","Genre-{musicbrainz_24456}","{indie rock}","indie rock",,
"Duration","1.0","Duration-{spotify_17622|musicbrainz_23263}","{324973.0|324973.0}","324973.0",,
"Year","0.3333333333333333","Year-{musicbrainz_1950|dbpedia_2168|spotify_15934}","{2014-01-01T00:00|2015-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Duration","0.5","Duration-{musicbrainz_14011|spotify_8787}","{176986.0|176987.0}","176986.5",,
"Name","0.0","Name-{dbpedia_6624|spotify_1343}","{Ball (song)|Ball (feat. Lil Wayne)}","Ball (song)",,
"Writer","1.0","Writer-{dbpedia_375}","{Skrillex,BloodPop}","Skrillex,BloodPop",,
"Artist","0.6666666666666666","Artist-{musicbrainz_25800|spotify_2305|spotify_10818}","{[The Cab]|[The Cab]|[The Cab]}","[The Cab]",,
"Name","0.0","Name-{spotify_5681|dbpedia_11476}","{The One|The One (Deuce Song)}","The One",,
"Name","0.5","Name-{spotify_4799|musicbrainz_3543}","{The Other Woman|The Other Woman}","The Other Woman",,
"Album","0.5","Album-{musicbrainz_9853|dbpedia_3835|musicbrainz_30072|musicbrainz_30066}","{Until Now|Mylo Xyloto|Mylo Xyloto|Mylo Xyloto}","Mylo Xyloto",,
"Genre","1.0","Genre-{dbpedia_9867}","{Contemporary R,B}","Contemporary R,B",,
"Name","0.0","Name-{spotify_14852|dbpedia_8274}","{Rose Tattoo|Rose Tattoo (song)}","Rose Tattoo",,
"Year","0.5","Year-{musicbrainz_3047|spotify_2261}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Name","0.0","Name-{dbpedia_1337|spotify_1380}","{Believe It (song)|Believe It (feat. Rick Ross)}","Believe It (song)",,
"Year","1.0","Year-{dbpedia_8552|spotify_14955}","{2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Genre","1.0","Genre-{musicbrainz_24458}","{indie rock}","indie rock",,
"Name","0.3333333333333333","Name-{musicbrainz_9663|spotify_17733|dbpedia_7617}","{You Are a Tourist|You Are a Tourist|You Are a Tourist}","You Are a Tourist",,
"Genre","0.0","Genre-{musicbrainz_23098|dbpedia_2475}","{rock|Rock music,Dance-rock,Alternative rock}","Rock music,Dance-rock,Alternative rock",,
"Writer","1.0","Writer-{dbpedia_2383}","{FKi}","FKi",,
"Writer","1.0","Writer-{dbpedia_9679}","{Ricky Reed}","Ricky Reed",,
"Album","1.0","Album-{dbpedia_7529}","{Artpop}","Artpop",,
"Producer","1.0","Producer-{dbpedia_8758}","{Alex Metric,Jacknife Lee,Jon Asher,Bonnie McKee}","Alex Metric,Jacknife Lee,Jon Asher,Bonnie McKee",,
"Genre","1.0","Genre-{musicbrainz_3037}","{alternative metal}","alternative metal",,
"Artist","0.5","Artist-{spotify_19722|dbpedia_7332|musicbrainz_2468|musicbrainz_2467}","{[Fiona Apple]|[Fiona Apple]|[Fiona Apple]|[Fiona Apple]}","[Fiona Apple]",,
"Producer","1.0","Producer-{dbpedia_979}","{Chris Brown}","Chris Brown",,
"Genre","1.0","Genre-{musicbrainz_24459}","{indie rock}","indie rock",,
"Name","0.5","Name-{spotify_5605|musicbrainz_3875}","{All My Heart|All My Heart}","All My Heart",,
"Producer","1.0","Producer-{dbpedia_9954}","{M. Shadows}","M. Shadows",,
"Duration","1.0","Duration-{spotify_7034}","{206880.0}","206880.0",,
"Writer","1.0","Writer-{dbpedia_111}","{Guy-Manuel de Homem-Christo,Thomas Bangalter}","Guy-Manuel de Homem-Christo,Thomas Bangalter",,
"Duration","1.0","Duration-{spotify_12090}","{227693.0}","227693.0",,
"Year","0.3333333333333333","Year-{dbpedia_6795|spotify_11808|musicbrainz_5583}","{2011-01-01T00:00|2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Artist","0.5","Artist-{musicbrainz_17673|spotify_12731}","{[Kid Cudi]|[Kid Cudi]}","[Kid Cudi]",,
"Year","0.8333333333333334","Year-{musicbrainz_10693|musicbrainz_16288|musicbrainz_10690|musicbrainz_16301|musicbrainz_10713|spotify_4443}","{2014-01-01T00:00|2014-01-01T00:00|2014-01-01T00:00|2014-01-01T00:00|2014-01-01T00:00|2010-01-01T00:00}","2014-01-01T00:00",,
"Album","1.0","Album-{musicbrainz_6524}","{Neck of the Woods}","Neck of the Woods",,
"Name","0.0","Name-{spotify_6714|dbpedia_3259}","{Got 2 Luv U (feat. Alexis Jordan)|Got 2 Luv U}","Got 2 Luv U",,
"Artist","1.0","Artist-{spotify_10751|dbpedia_9929}","{[Luke Bryan]|[Luke Bryan]}","[Luke Bryan]",,
"Year","0.0","Year-{spotify_11713|dbpedia_9447}","{2010-01-01T00:00|2011-01-01T00:00}","2010-01-01T00:00",,
"Album","1.0","Album-{musicbrainz_26724}","{Paramore}","Paramore",,
"Producer","1.0","Producer-{dbpedia_10066}","{John Ryan}","John Ryan",,
"Duration","1.0","Duration-{spotify_10793}","{218520.0}","218520.0",,
"Producer","1.0","Producer-{dbpedia_9953}","{Grimes}","Grimes",,
"Name","0.5","Name-{spotify_6598|dbpedia_11267}","{Water Tower Town|Water Tower Town}","Water Tower Town",,
"Year","0.0","Year-{spotify_16065|dbpedia_5385}","{2015-01-01T00:00|2016-01-01T00:00}","2016-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_4251}","{Sony Music Entertainment Inc.,RCA Records}","Sony Music Entertainment Inc.,RCA Records",,
"Name","0.0","Name-{dbpedia_2516|spotify_1774}","{Wake Up (Fetty Wap song)|Wake Up}","Wake Up",,
"Album","1.0","Album-{dbpedia_9926}","{Libra Scale}","Libra Scale",,
"Producer","1.0","Producer-{dbpedia_8756}","{Ina Wroldsen,Steve Mac}","Ina Wroldsen,Steve Mac",,
"Duration","1.0","Duration-{spotify_6936}","{196250.0}","196250.0",,
"RecordLabel","1.0","RecordLabel-{dbpedia_2954}","{Fueled by Ramen LLC}","Fueled by Ramen LLC",,
"RecordLabel","1.0","RecordLabel-{dbpedia_38}","{Caroline Records,Prospect Park}","Caroline Records,Prospect Park",,
"Duration","0.5","Duration-{musicbrainz_2458|spotify_9818}","{193000.0|192707.0}","192853.5",,
"Year","1.0","Year-{spotify_15643|dbpedia_4115}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_113}","{Danielle Haim,Haim,James Ford}","Danielle Haim,Haim,James Ford",,
"Duration","1.0","Duration-{spotify_7036}","{228000.0}","228000.0",,
"Writer","0.3333333333333333","Writer-{dbpedia_2634|dbpedia_2104|dbpedia_7284}","{Vinylz,Boi-1da|Boi-1da,Vinylz|Vinylz,Boi-1da}","Vinylz,Boi-1da",,
"Artist","1.0","Artist-{dbpedia_10975|spotify_10944}","{[Jason Derulo]|[Jason Derulo]}","[Jason Derulo]",,
"Year","0.5","Year-{spotify_16636|dbpedia_1340}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Artist","1.0","Artist-{dbpedia_2454|spotify_11262}","{[Dierks Bentley]|[Dierks Bentley]}","[Dierks Bentley]",,
"Album","1.0","Album-{dbpedia_2891}","{Blood, Sweat , Tears}","Blood, Sweat , Tears",,
"Album","1.0","Album-{dbpedia_904}","{Until One,Until Now}","Until One,Until Now",,
"Artist","0.3333333333333333","Artist-{spotify_14926|dbpedia_5198|dbpedia_9574}","{[Romeo Santos]|[Romeo Santos De Scaroni]|[Romeo Santos]}","[Romeo Santos]",,
"Name","0.25","Name-{dbpedia_7144|spotify_14916|dbpedia_2723|dbpedia_7979}","{Memories Back Then|Memories Back Then (feat. B.o.B, Kendrick Lamar , Kris Stephens)|Memories Back Then|Memories Back Then}","Memories Back Then",,
"Duration","1.0","Duration-{spotify_10791}","{236093.0}","236093.0",,
"Album","0.6666666666666666","Album-{musicbrainz_11597|musicbrainz_22355|dbpedia_8999}","{The Last Hero|The Last Hero|The Last Hero}","The Last Hero",,
"Name","0.5","Name-{spotify_6928|dbpedia_10133}","{Love Someone|Love Someone}","Love Someone",,
"Artist","1.0","Artist-{spotify_3800|dbpedia_2530}","{[Kid Rock]|[Kid Rock]}","[Kid Rock]",,
"Year","0.0","Year-{spotify_2570|dbpedia_617}","{2013-01-01T00:00|2012-01-01T00:00}","2013-01-01T00:00",,
"Name","0.3333333333333333","Name-{spotify_11953|spotify_6916|dbpedia_5894}","{Crash My Party|Crash My Party|Crash My Party (song)}","Crash My Party",,
"Album","1.0","Album-{musicbrainz_28021}","{Crush}","Crush",,
"Genre","1.0","Genre-{musicbrainz_3033}","{alternative metal}","alternative metal",,
"Name","0.5","Name-{musicbrainz_6615|spotify_4451}","{16 Dollars|16 Dollars}","16 Dollars",,
"Album","1.0","Album-{dbpedia_10391}","{Daniel Son; Necklace Don}","Daniel Son; Necklace Don",,
"Year","0.75","Year-{dbpedia_5420|musicbrainz_6837|musicbrainz_6826|musicbrainz_6828}","{2010-01-01T00:00|2010-01-01T00:00|2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Genre","1.0","Genre-{dbpedia_8670}","{Country music}","Country music",,
"Name","1.0","Name-{musicbrainz_12043|dbpedia_4037}","{Beekeeper’s Daughter|Beekeeper's Daughter}","Beekeeper’s Daughter",,
"Duration","1.0","Duration-{spotify_12082}","{233507.0}","233507.0",,
"Writer","1.0","Writer-{dbpedia_3310}","{Gorillaz}","Gorillaz",,
